BINGO CARABOBO;1;9;8;11;2;4;20;16;25;18;24;38;41;42;34;59;49;53;57;47;68;65;66;64;67
BINGO CARABOBO;2;6;14;3;10;13;30;17;22;21;28;37;45;40;35;50;51;54;58;56;63;69;75;62;70
BINGO CARABOBO;3;15;12;5;1;7;19;27;26;23;29;43;39;33;31;48;52;60;46;55;72;61;74;73;71
BINGO CARABOBO;4;6;4;2;11;7;21;28;20;24;26;38;44;42;32;53;48;50;56;57;64;75;65;66;67
BINGO CARABOBO;5;5;14;10;15;12;18;25;17;27;30;33;35;37;45;54;47;60;59;58;63;71;62;72;69
BINGO CARABOBO;6;8;13;9;3;1;19;29;23;22;16;43;31;34;41;55;51;49;52;46;68;61;73;70;74
BINGO CARABOBO;7;14;3;11;4;13;17;29;27;19;26;34;37;43;40;58;55;57;50;53;66;72;71;73;62
BINGO CARABOBO;8;9;2;8;12;1;20;24;18;21;22;44;36;39;33;52;49;51;54;47;64;69;74;68;65
BINGO CARABOBO;9;10;5;7;15;6;23;25;28;16;30;45;31;38;42;59;46;60;56;48;70;63;61;75;67
BINGO CARABOBO;10;11;4;6;13;5;25;29;20;16;19;39;40;41;31;47;59;46;56;55;73;72;65;70;64
BINGO CARABOBO;11;8;7;12;10;1;26;27;21;22;30;34;35;32;33;49;54;57;58;53;71;62;68;61;66
BINGO CARABOBO;12;9;15;3;14;2;18;23;24;17;28;42;37;36;45;51;52;48;50;60;67;69;63;75;74
BINGO CARABOBO;13;12;13;10;15;3;23;25;21;16;22;34;35;40;33;54;50;53;47;49;65;63;70;66;69
BINGO CARABOBO;14;7;8;9;5;1;20;24;26;18;19;36;37;41;44;55;52;59;51;58;71;75;64;68;67
BINGO CARABOBO;15;11;4;6;2;14;27;29;17;28;30;42;38;39;31;48;56;46;57;60;74;73;61;72;62
BINGO CARABOBO;16;11;1;9;12;3;22;29;17;23;24;34;44;42;41;58;54;48;47;52;61;65;67;66;73
BINGO CARABOBO;17;10;7;5;4;6;21;20;28;19;27;37;35;32;38;51;57;49;56;59;63;69;74;64;75
BINGO CARABOBO;18;2;13;15;14;8;25;18;16;30;26;43;36;31;45;53;55;60;46;50;71;68;70;62;72
BINGO CARABOBO;19;5;1;13;15;9;21;22;27;19;23;37;43;40;32;55;60;49;56;57;67;70;69;61;63
BINGO CARABOBO;20;11;10;2;4;8;25;28;17;29;24;33;35;41;38;59;51;48;54;53;71;73;72;65;68
BINGO CARABOBO;21;7;14;3;6;12;18;30;16;20;26;44;36;45;31;50;52;58;46;47;74;62;64;66;75
BINGO CARABOBO;22;8;4;2;12;7;22;30;19;26;17;36;39;38;42;55;46;48;59;53;74;71;70;72;64
BINGO CARABOBO;23;9;13;5;6;11;25;18;23;29;20;32;34;43;31;52;54;58;60;51;73;69;68;65;62
BINGO CARABOBO;24;10;3;14;15;1;21;24;27;16;28;37;35;41;33;56;57;47;50;49;66;63;67;75;61
BINGO CARABOBO;25;10;9;5;4;1;30;20;18;25;21;34;41;39;40;59;53;60;55;46;68;65;70;72;66
BINGO CARABOBO;26;6;8;15;7;11;23;26;29;17;24;31;35;42;44;47;49;57;51;52;64;62;74;73;63
BINGO CARABOBO;27;13;3;12;2;14;22;28;27;16;19;43;38;37;36;58;54;50;48;56;69;71;67;75;61
BINGO CARABOBO;28;8;14;10;9;6;24;23;18;21;20;45;32;39;40;50;59;60;56;49;66;67;72;68;70
BINGO CARABOBO;29;12;11;2;3;7;28;17;25;29;19;35;37;43;44;51;54;57;47;52;75;65;71;64;73
BINGO CARABOBO;30;13;5;15;4;1;30;26;22;27;16;42;34;36;33;48;58;53;55;46;69;62;63;61;74
BINGO CARABOBO;31;9;12;1;5;11;16;25;27;26;24;44;36;40;37;49;55;58;47;54;64;73;61;65;63
BINGO CARABOBO;32;7;10;2;14;6;28;19;20;22;21;32;33;31;35;59;52;57;50;48;67;70;74;71;72
BINGO CARABOBO;33;8;13;3;4;15;29;23;17;18;30;42;41;45;34;56;60;53;46;51;75;66;62;69;68
BINGO CARABOBO;34;6;8;12;14;10;21;18;29;30;26;42;37;33;34;56;54;59;57;49;64;74;68;71;66
BINGO CARABOBO;35;11;9;5;7;13;19;25;20;23;17;41;43;39;45;58;47;50;48;52;67;73;75;62;70
BINGO CARABOBO;36;2;3;4;15;1;28;24;22;16;27;44;35;32;38;55;53;51;60;46;69;65;63;72;61
BINGO CARABOBO;37;4;7;8;14;12;28;24;22;25;29;32;40;44;42;57;48;56;59;47;72;71;73;67;65
BINGO CARABOBO;38;2;5;3;1;11;21;20;18;30;19;39;45;35;38;46;53;58;50;54;68;61;64;66;70
BINGO CARABOBO;39;6;13;10;9;15;27;16;23;17;26;34;36;37;41;60;52;51;49;55;69;74;63;62;75
BINGO CARABOBO;40;9;4;13;14;5;17;24;19;25;20;33;32;41;43;57;54;51;53;55;74;71;63;67;65
BINGO CARABOBO;41;11;12;2;6;15;21;28;18;23;22;35;31;42;39;52;56;46;48;49;73;69;68;66;75
BINGO CARABOBO;42;3;10;1;8;7;16;26;29;30;27;34;44;45;40;59;47;50;60;58;61;64;62;72;70
BINGO CARABOBO;43;11;3;10;13;1;27;19;29;17;20;43;37;44;31;48;54;58;55;56;63;66;75;74;70
BINGO CARABOBO;44;8;14;6;15;4;18;22;25;28;30;42;35;36;33;51;60;50;46;47;69;64;65;68;62
BINGO CARABOBO;45;9;5;7;2;12;26;21;23;16;24;39;32;41;45;53;52;59;57;49;72;67;71;73;61
BINGO CARABOBO;46;8;7;4;10;9;21;28;22;30;18;33;45;41;35;54;58;55;52;56;73;68;69;62;72
BINGO CARABOBO;47;14;11;13;3;2;27;29;19;26;24;43;34;39;38;59;46;47;57;50;66;65;71;70;61
BINGO CARABOBO;48;6;12;15;1;5;17;20;23;16;25;31;42;44;37;60;49;51;53;48;67;75;63;74;64
BINGO CARABOBO;49;5;8;14;13;7;29;28;21;23;19;36;34;39;40;53;52;60;55;58;61;73;72;75;65
BINGO CARABOBO;50;11;9;2;6;12;17;20;26;16;30;45;37;42;33;54;56;48;59;47;68;74;69;70;67
BINGO CARABOBO;51;1;4;10;3;15;22;24;27;25;18;41;31;35;32;50;51;57;46;49;66;62;63;71;64
BINGO CARABOBO;52;5;7;3;12;8;22;23;27;19;24;34;41;33;36;50;58;51;46;59;73;74;68;62;67
BINGO CARABOBO;53;6;9;10;1;4;20;16;28;26;17;39;32;31;43;47;60;49;54;56;70;65;75;71;69
BINGO CARABOBO;54;11;15;2;13;14;25;29;30;21;18;45;37;35;42;55;57;48;52;53;66;72;63;64;61
BINGO CARABOBO;55;10;3;2;7;5;22;26;28;21;23;32;43;39;44;58;46;53;48;55;74;69;67;70;62
